i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.2787647852719272;5.8262053777033715;3.0010755149561033;0.933873602411311;-0.2135428528472737;-0.16385871171951294;0.2203250527381897;0.11106058210134506;0.6300038073650681;-1.230414249995303;0.2407322726858766;0.5;0.4019648460918385;0.2973621739669734;-0.12366222711032909;0.25006127013488705;0.020466238260269165;0.4294520914554596;0.10472842305898666;0.5862234719209508;-0.7734343205190881;0.4886729602696742;0.3;-0.06357708118067211;0.2931858706495697;0.014108530142201954;0.4587706785204166;1.0571560859680176;-0.47357600927352905;0.16610518097877502;0.7919409781742802;2.227641194437016;4.415647182519762;0.8316681707510583;-0.7953195154833176;-0.24318473334441107;0.9776241344196859;-0.49789448260797015;
1;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.2699252406558318;5.838823743616754;3.0048831144967227;1.256052037493248;-0.40001137126331454;-0.1575743854045868;0.22209657728672028;0.12326701730489731;0.6246828126980281;-1.2243825245212994;0.22049757624910937;0.5;0.475437785607045;0.15478666614753836;-0.11003060684388229;0.2375752439014741;0.01411952544003725;0.4303772449493408;0.11909215897321701;0.5913320532420155;-0.7800209609584665;0.5054400522992326;0.3;-0.11682864477316944;0.2763169697294478;0.0024366609627203065;0.4580089419222856;1.0601956844329834;-0.4731331169605255;0.18890632688999176;0.794080732282272;2.224862153538257;4.419947328984308;0.8313591518423445;-0.7960619901747648;-0.23967341769794862;0.980589485415507;-0.4971004587303204;
2;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.2665488144117117;5.843488376551657;3.0048111725275635;1.346860318890902;-0.46923780326306963;-0.15270701050758362;0.2236839234828949;0.13883306086063385;0.6206514958088225;-1.2193141891620514;0.20577950093094868;0.5;0.48751546932901285;0.1110345314076316;-0.10395546357468233;0.23478737662365806;0.01030487846583128;0.4345758259296417;0.13363806903362274;0.5969996876074711;-0.7796172585341229;0.5321318783009241;0.3;-0.1356619810362311;0.2675739652905814;-0.0032613196377918284;0.46133322245869984;1.0634709596633911;-0.4759778380393982;0.20287062227725983;0.7984108690406871;2.2251939139934405;4.434386706007935;0.8313650000547048;-0.7994452421596873;-0.22815579787548318;0.9835264354474224;-0.49879341782694653;
3;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.2621862696764725;5.851077133851347;3.0149288192200867;1.4418672246181476;-0.5568296523473499;-0.14796189963817596;0.22540976107120514;0.15572841465473175;0.616799256320987;-1.214038511937834;0.1922542374552632;0.5;0.49585007501844397;0.06428610350770611;-0.09837689213633156;0.23183837142197575;0.003657606663182378;0.43930965662002563;0.15260064601898193;0.6050410049107168;-0.7819303386095946;0.5677466997254652;0.3;-0.15854923189994932;0.2546804685560636;-0.012197316526812555;0.46477770347563196;1.0535491704940796;-0.47614359855651855;0.22666703164577484;0.7906637505547705;2.232998480610491;4.416744651625187;0.8305389125045587;-0.7945056592658949;-0.24198273198457906;0.9740986045674901;-0.5003418717549765;
4;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.25819946325207216;5.857775772680763;3.024929627735395;1.4714469166167192;-0.6650520016103962;-0.13707666099071503;0.2257150262594223;0.17715506255626678;0.6067197969363465;-1.2073012764191724;0.15038016184914937;0.5;0.4975344526509638;0.049593027990896495;-0.08732321572561864;0.23067432905851196;-0.0038130846805870533;0.44686606526374817;0.17452268302440643;0.6156669159692728;-0.781891741920349;0.6188962330002485;0.3;-0.18513001585014813;0.23606540879875626;-0.022326086265601865;0.4704726061436238;1.04456627368927;-0.47913894057273865;0.23917055130004883;0.7854607615539658;2.2430378858150455;4.409164882175036;0.8297151486053773;-0.7918624975381887;-0.24775191788929804;0.9653800239354512;-0.5039141323616685;
5;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.2584012549321375;5.858623076559218;3.035986475605197;1.4036614449634217;-0.7200398267352495;-0.12696263194084167;0.22342604398727417;0.20195791125297546;0.5964545662751919;-1.2048592554201378;0.10434484610352918;0.5;0.4930327241934064;0.08317892085395467;-0.07765935952150103;0.23174393607266963;-0.008654633536934853;0.4531528949737549;0.18996740877628326;0.6235401958551208;-0.7802970247997691;0.6589641530810699;0.3;-0.19782438402487532;0.22553384022176948;-0.028437071939422385;0.4757062789959318;1.0330142974853516;-0.48253393173217773;0.24782414734363556;0.7785986879511869;2.2556894508054266;4.39791969258182;0.8287959472749584;-0.788152347977865;-0.256356389809917;0.954199062687565;-0.5081695707131695;
6;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.25984356171726064;5.860429341427767;3.04812977078822;1.305909142826205;-0.7639266496039723;-0.11628635227680206;0.22233867645263672;0.22498303651809692;0.5861028000287593;-1.2000736218900605;0.06148608547823131;0.5;0.4825610211519383;0.13090019428862049;-0.06803025016160824;0.23542869588149876;-0.013947146944701672;0.4611803889274597;0.21172231435775757;0.632971415336486;-0.7773176561382411;0.7085405997420952;0.3;-0.20752869112310665;0.2166375829830323;-0.03470001605701234;0.48284414722576297;1.019834280014038;-0.48682647943496704;0.25436288118362427;0.7711945464974597;2.2708121146499787;4.3864080868839;0.8277760660076713;-0.7841829469121534;-0.2650854979573711;0.9414159853228228;-0.5133350292307042;
7;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.2624804309890507;5.858798515257306;3.062585054972238;1.203063360913698;-0.7611257701126867;-0.10956557095050812;0.21949933469295502;0.24022239446640015;0.5788099658713026;-1.200439177429116;0.02839137551020887;0.5;0.4665723718025232;0.17975044331118653;-0.0629083337702558;0.23747437902407367;-0.01650361903011799;0.46492844820022583;0.22700585424900055;0.6374365653058023;-0.7760523855068364;0.7320091982081257;0.3;-0.20692110213016687;0.21721799532551864;-0.037195729243134676;0.4866502477327777;1.0057002305984497;-0.4906015694141388;0.25832876563072205;0.7629106676479279;2.2865326694654025;4.3712768938528;0.8265476613490631;-0.7789246433881745;-0.2765093785104055;0.9278077662596322;-0.5182525072651794;
8;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.26282173155834293;5.861466765415476;3.0800177428609405;1.1558308859429116;-0.7954438566430241;-0.10214084386825562;0.21798545122146606;0.25441911816596985;0.5713421266042055;-1.1982056125324203;-0.002117281696865425;0.5;0.45756512692431683;0.20157915225224507;-0.056384331175823935;0.23814336644669057;-0.01934429258108139;0.46742480993270874;0.24186314642429352;0.6412080395762105;-0.77648707076831;0.7503777380346826;0.3;-0.21425230819547117;0.20999035319012357;-0.040769523400628505;0.4884238452517211;0.9914895296096802;-0.49525851011276245;0.2596631646156311;0.7553520066185491;2.3035306720926325;4.359152742636625;0.82504513853883;-0.7741052814801632;-0.28541284801331995;0.9140790014616639;-0.5237997949140945;
9;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.26062866750497216;5.867185924924908;3.0995689101480095;1.1813011314030053;-0.8631271809021636;-0.09576719999313354;0.21825124323368073;0.26273098587989807;0.5655083809255114;-1.1936649915170194;-0.02258432752051992;0.5;0.4625504314334237;0.18986073417311328;-0.04951215684979117;0.23723731665099204;-0.02085486240684986;0.46788185834884644;0.2507890462875366;0.6425931085538442;-0.7776656092623414;0.7561131779311477;0.3;-0.2279637431979886;0.19501931131854994;-0.04365123672664872;0.48738378948070143;0.970908522605896;-0.4950280487537384;0.2706899344921112;0.7400238914087177;2.321903300885671;4.315652889949321;0.8233320233321639;-0.7593814472333278;-0.318143738335444;0.8949703778825632;-0.5268424225872828;
