i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.3045482604184672;5.599347805799207;2.1916909045204;0.08496621981395758;0.8053974274459321;0.14515534043312073;0.35386237502098083;0.11547775566577911;0.446517427474943;-0.6918008742802028;0.08496621981395758;0.730953918419496;0.062031691259695605;0.7283170327077879;0.15135850955909028;0.42669407829175965;0.4263298511505127;0.47086894512176514;0.11319727450609207;0.46088355858093477;-0.007963372899823294;0.8053974274459321;0.09085935331025602;0.06551922914329632;0.06294960441834534;0.43288177406484235;0.47716390556359967;1.104495644569397;-0.4643666446208954;0.16398508846759796;0.8246017754479875;2.1837275316205766;4.472225029097374;0.8797833611264879;-0.8545326902092432;-0.20926692017319384;1.0190423755484725;-0.4852933366382148;
1;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.305430572773081;5.601273767274216;2.196995858540831;0.09348381364397784;0.8150330292357525;0.14513945579528809;0.3564234972000122;0.12903249263763428;0.4485028083043533;-0.6881853454493616;0.09348381364397784;0.7312967113623206;0.06826487368276293;0.7281035551832045;0.15196594316356438;0.42923385271833264;0.42708978056907654;0.4738622009754181;0.1266859769821167;0.46387133008076203;-0.006273805543990811;0.8150330292357525;0.0909447116073589;0.06618485489284731;0.062373917242373234;0.43370826605836127;0.4800995926996554;1.1011286973953247;-0.4690495729446411;0.19240976870059967;0.8245618362536484;2.1907220529968403;4.479106213724247;0.8795533211706145;-0.8557286430708227;-0.20332863598230935;1.0155558330882424;-0.48938243654287206;
2;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.30493057551722524;5.607064592355074;2.198840940931324;0.11011702134437584;0.8227239498296536;0.145201176404953;0.3613940477371216;0.14919902384281158;0.4523142123637076;-0.6811002744286203;0.11011702134437584;0.732323452249009;0.08047840322821999;0.7278879483325319;0.153249016727775;0.43418284257037476;0.42767831683158875;0.47623881697654724;0.14503569900989532;0.4662445974683512;-0.004979559604108018;0.8227239498296536;0.0908450516326752;0.0665895546862126;0.061795263676396144;0.43433727230021;0.4824183433441869;1.1009775400161743;-0.4721284806728363;0.20859375596046448;0.8262316449289838;2.193861381327216;4.4869649257383575;0.8794731159094761;-0.8572219273086777;-0.19657957408825238;1.0152553472853065;-0.49178643808166156;
3;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.30078643758073736;5.6217537937093915;2.2028618336056907;0.1422430737685142;0.8270887119858421;0.14699971675872803;0.3708440959453583;0.17219313979148865;0.45858218662881256;-0.6650774739744253;0.1422430737685142;0.7349015568584817;0.10418250292413596;0.7274794185112611;0.1574179670511416;0.4435920377964844;0.4282960295677185;0.4773563742637634;0.16694681346416473;0.46735948057165266;-0.003645960504230198;0.8270887119858421;0.09057665661233605;0.06666111221978425;0.06132231927031438;0.4349621407896969;0.48348860619079487;1.0987670421600342;-0.4759909212589264;0.2249850332736969;0.8267022028672604;2.19921587310146;4.493642313844004;0.8792979760895522;-0.8583444787659823;-0.19081322419354702;1.012932594283436;-0.49507224367828107;
4;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.29626694338500964;5.637162543096847;2.214410619250324;0.22919629479979373;0.6894938110448042;0.14776846766471863;0.38142088055610657;0.19130529463291168;0.4664848425805436;-0.6497879515495775;0.17856731827800942;0.5;0.11359745462218605;0.48692465362041426;0.15912821312693723;0.430113345918148;0.42824217677116394;0.4768598675727844;0.19139645993709564;0.466863176843689;-0.0037651874668374924;0.8256180471517638;0.3;0.19084401134250675;0.23147043728023053;0.44732657790541464;0.5000069113008074;1.0881757736206055;-0.47988635301589966;0.23813608288764954;0.8204779021108985;2.2106454317834863;4.487321422098866;0.8787922368183327;-0.8566282460764038;-0.19612201180956934;1.0025129490129652;-0.49949855419685657;
5;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.2937337499750723;5.6514476079708444;2.2200083262185824;0.3190232584527965;0.6166451366558114;0.14868174493312836;0.39451730251312256;0.21011599898338318;0.47643836596755895;-0.6316298769578155;0.2244242455664468;0.5;0.1568196265203006;0.4747711077330143;0.16436370758515842;0.44199441328642397;0.4300505518913269;0.47884470224380493;0.2078564167022705;0.46884470496911423;0.00010782225092675577;0.8349067756716039;0.3;0.1734904334563946;0.24474694992810905;0.4473995952369664;0.5033193972366158;1.0781656503677368;-0.4820430874824524;0.2473938912153244;0.8137721488573417;2.220116148469509;4.477048534331909;0.8785456513521261;-0.8543285532114502;-0.20485405701953247;0.9927327950465918;-0.5025284931844056;
6;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.2879231166133505;5.670485082629668;2.2239998405461954;0.5061399366927765;0.4655211040186501;0.15456852316856384;0.40773671865463257;0.22575581073760986;0.4837943734642852;-0.6056726113072285;0.27174742883248326;0.5;0.2424023846303746;0.4373111980335147;0.1788087616316013;0.45146783845798405;0.4333023130893707;0.4798976182937622;0.22116461396217346;0.4699092220311179;0.0070276132426904505;0.844758126969795;0.3;0.13466655436496355;0.2680763308005172;0.44676896852586706;0.506705251373814;1.06478750705719;-0.4828968346118927;0.2549421191215515;0.8036805762778553;2.2310274537888857;4.456999075846042;0.8783692370149575;-0.8498792170693732;-0.22189599574527658;0.9797995853502526;-0.5050864341864204;
7;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.28563202321766357;5.681960987454901;2.2227886231014944;0.6248935125431876;0.42879088670112697;0.15807069838047028;0.4187118709087372;0.23987628519535065;0.49090827911230567;-0.5870783991188876;0.3117522701074974;0.5;0.2925054561115412;0.40551271021384677;0.1873212439916244;0.45926314193012185;0.43667295575141907;0.48169150948524475;0.229699045419693;0.47173870782344024;0.014145920605797429;0.8569510210726738;0.3;0.1247314366193151;0.2728407387449348;0.4491460994133506;0.5089755833597382;1.0559064149856567;-0.4819546937942505;0.25900697708129883;0.7961019162559477;2.236934543707292;4.438640976617292;0.8784228210900207;-0.8457142369685174;-0.23747438177729568;0.971334991288805;-0.5057021319719801;
8;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.278580928888416;5.701222626479509;2.2286447742418845;1.013227645862418;0.30051768984262106;0.16642239689826965;0.4268382489681244;0.2554028034210205;0.4931807768553691;-0.5638500110691006;0.3419783740354211;0.5;0.42427204433942034;0.26456234122045585;0.2088496013322117;0.45329448309016995;0.4386245906352997;0.4861113429069519;0.24321617186069489;0.47618945222283915;0.018112669630976873;0.8734573011950316;0.3;0.08880442051075128;0.2865550119920251;0.4475050326863748;0.5147668441061544;1.04202401638031;-0.4808451235294342;0.2626452147960663;0.7845395668281566;2.2467574438728612;4.409720183276512;0.8781633288529336;-0.8382458917140503;-0.2617530461457559;0.958199427208905;-0.5070204281440098;
9;0.3;0.05;0.43;0.01;5.0;0.65;4.71238898038469;4.71238898038469;0.3;2.0;0.2;0.5;0.5;1;0.27624229325070737;5.709076026188105;2.2268018156345644;1.2006821829404595;0.27674816281806486;0.17300589382648468;0.4332990348339081;0.2633485198020935;0.4952050519726573;-0.5456397277815904;0.3664873859284806;0.5;0.46614303167666665;0.1808609245229222;0.21962019699415136;0.4513851272862003;0.4436325132846832;0.4887159764766693;0.2544482350349426;0.47891004536600407;0.0284695532098913;0.8916164378795083;0.3;0.08196869913337677;0.2885847056972735;0.4518293831980209;0.5175744470463967;1.0310252904891968;-0.4804905652999878;0.2640828490257263;0.7757656827005981;2.2552713688444554;4.387415291714486;0.8782451057822762;-0.8322769906992282;-0.2804094801948721;0.947797591419274;-0.508531513319475;
