i;T_Z;v_z;CX;CY;k;R;D_12;D_23;safety_radius;eta_vf;eta_apf;v_f;v_cruis;k_f;distance_12;p12_APF;p23;angle_1_APF;angle_2_APF;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.5494199496334751;5.385996877303801;2.536367018742465;0.4055932531007636;1.383007700256004;-0.1703217625617981;0.1836482137441635;0.13040074706077576;0.6249319328869685;-1.2892229545829945;0.4055932531007636;0.6886917730995393;0.2717329472553825;0.6328171645198089;-0.14314846783625984;0.2469299301961444;0.1849304437637329;0.6027641296386719;0.11084211617708206;0.6414268475673068;-0.3920345247072085;1.383007700256004;0.10742851976568246;0.10553986958440649;0.020055492692828483;0.19548443072217356;0.6047696789079547;1.0346314907073975;-0.3805731236934662;0.15990649163722992;0.7198101169799723;2.144332494035257;4.254849929347808;0.8628814201329182;-0.7741274362866228;-0.3811706410505701;0.9572187470787352;-0.4186901877985232;
1;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.5367120115513963;5.395069049787721;2.5269847566484125;0.33465168775406234;1.381587959629879;-0.15104606747627258;0.18763983249664307;0.14466488361358643;0.607593978425623;-1.27409629971173;0.33465168775406234;0.6906698584070772;0.22684374660955955;0.6523547868577266;-0.12836169281531662;0.25287531118241574;0.18910980224609375;0.6027949452400208;0.12488298118114471;0.6398702481566363;-0.3859800423198647;1.381587959629879;0.10678813660593123;0.10488233511018974;0.02008486747780258;0.1995980357571127;0.6048034319878011;1.040143609046936;-0.38126227259635925;0.18030883371829987;0.7248181769368702;2.1410047143285476;4.269746343491339;0.8634003099905284;-0.780188293707488;-0.3698193094654995;0.9621247796761873;-0.4182442035429092;
2;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.5281095719193666;5.400486088564588;2.5194292846820407;0.2767866794193928;1.389487946926114;-0.13431799411773682;0.1920277178287506;0.15993203222751617;0.592949313637354;-1.2587708090557361;0.2767866794193928;0.6918430436261869;0.18905721430951572;0.665510455764199;-0.11541227268678525;0.2585787634051705;0.1951485425233841;0.6047643423080444;0.13927790522575378;0.6394527581925121;-0.37607159044073746;1.389487946926114;0.1063423603990738;0.1045992615158485;0.019175299361043407;0.20560846867496896;0.6066818722441488;1.0405241250991821;-0.3835366368293762;0.1985437422990799;0.7263682205707366;2.143357694241303;4.27765766258578;0.8638154983640871;-0.783466175182779;-0.3638103455902034;0.9621775075809043;-0.4199176713883966;
3;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.5327381442573389;5.390319490006531;2.499367944854862;0.223176553284469;1.4554535468907186;-0.11694225668907166;0.1979767084121704;0.17686860263347626;0.5783433885310771;-1.2397569777498574;0.223176553284469;0.6896363496908469;0.15263618371508697;0.672532891564279;-0.10167863831756296;0.26522999756859833;0.20998281240463257;0.6186071038246155;0.16127967834472656;0.6471554447450484;-0.34689116057680247;1.4554535468907186;0.10600474712163083;0.10530038724695988;0.012199789258884272;0.22051285112932856;0.6198270827505039;1.0342445373535156;-0.38733482360839844;0.2170616090297699;0.7231780022743234;2.1524767842780594;4.275294585681855;0.8649064988517806;-0.7835927072418247;-0.36612254903716757;0.9558852666293332;-0.4239470785121152;
4;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.5160549863044606;5.408197113317602;2.5108050687636396;0.1995303402633843;1.4272459644890385;-0.10305438935756683;0.20782560110092163;0.19106361269950867;0.5685788867556633;-1.2154341775965722;0.1995303402633843;0.6935028356506622;0.13745851124236044;0.6797435845541635;-0.08930853823333079;0.27579995955633796;0.21633391082286835;0.6131697297096252;0.180991068482399;0.6398960231961379;-0.34044598373458823;1.4272459644890385;0.10578610098198088;0.10469801982116325;0.015133532518786344;0.22680371280498468;0.6146830829615039;1.0235251188278198;-0.3956715166568756;0.23052383959293365;0.7189168561845434;2.1703590850290513;4.277583249633336;0.8642865310254533;-0.7838663047752665;-0.3640670596881581;0.9451384883502931;-0.4320782226256914;
5;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.49494304582227633;5.436361193344938;2.5199378504476933;0.14560028681944306;1.4329747409012494;-0.07708539068698883;0.2209641933441162;0.2090653032064438;0.5492189766582266;-1.1765453634398015;0.14560028681944306;0.6994638546935278;0.10148268630851599;0.692062821138613;-0.06693712205613724;0.2901704754579775;0.22315096855163574;0.6144444942474365;0.19747982919216156;0.6388580972619551;-0.3297212496051536;1.4329747409012494;0.10514506095550696;0.1041480364927413;0.014445426198070469;0.23356577220090988;0.6158890368672436;1.012026309967041;-0.4050046503543854;0.2422620952129364;0.7148310886563453;2.1902166008425397;4.28221226902543;0.8637876259966426;-0.7850897231535073;-0.3602265806734214;0.9335173376516903;-0.4410273084217275;
6;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.484165464973625;5.447395164969622;2.5291055662669852;0.11200518877614246;1.4261931412157454;-0.06136003136634827;0.2271801382303238;0.22360573709011078;0.5372168024792981;-1.154616780129586;0.11200518877614246;0.7017562027080814;0.07843609668468035;0.6973589798490711;-0.053516421697880234;0.2969160362152309;0.23089444637298584;0.6131898760795593;0.2154196798801422;0.6352015806734064;-0.31882663791962196;1.4261931412157454;0.10508260173251416;0.10398587191966933;0.015142378544347383;0.24129303356495277;0.614704113933994;0.9995254874229431;-0.4135788381099701;0.2513306140899658;0.7097734236493596;2.2102789283473636;4.283048275152557;0.8632833401579711;-0.7849320833409263;-0.3593601952587073;0.9210322790888504;-0.4495148576358408;
7;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.48847294928285223;5.440011562710418;2.5305006087378192;0.10246966422810322;1.4577098488845475;-0.05462441220879555;0.23086008429527283;0.2380586564540863;0.5325786305735855;-1.1431837990562796;0.10246966422810322;0.7002248992193217;0.0716263101613072;0.6965519228165159;-0.04746178119266483;0.30051527657692445;0.24150331318378448;0.6193368434906006;0.23044298589229584;0.6378263006303355;-0.30001005458711155;1.4577098488845475;0.10537702685124928;0.10470393486611035;0.011891333464428378;0.25197370667039554;0.6205259768370435;0.986050009727478;-0.42128077149391174;0.2578919529914856;0.7037007298406847;2.2304905541507076;4.279627593625267;0.8632062963685816;-0.7836282954809866;-0.36201077969022843;0.9076871801793793;-0.4574818494629346;
8;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.47697597254957325;5.453417992766154;2.543883477394553;0.08327782664327649;1.434935614652738;-0.04428872466087341;0.23480656743049622;0.24714605510234833;0.5248693047800758;-1.1281750424490966;0.08327782664327649;0.7029973268320081;0.05847644384908713;0.700561023072019;-0.0384410802759647;0.3048626697376981;0.2439579963684082;0.6148327589035034;0.24418799579143524;0.6327987779366208;-0.298407728035664;1.434935614652738;0.1053762345035823;0.10440520521749047;0.014272488278070766;0.25439851689015724;0.6162600077313105;0.973797619342804;-0.4249832332134247;0.26225176453590393;0.6963664724695653;2.2454757493588886;4.265280227589895;0.8624630461678013;-0.7776837307594592;-0.37289478531764425;0.896029246266858;-0.46227271174518914;
9;0.3;0.05;0.43;0.01;5.0;0.6;4.71238898038469;4.71238898038469;0.25;2.0;0.2;0.5;0.5;1;0.4645662924286431;5.4793532427476865;2.5468399726870157;0.10635649043270579;1.4621336256031299;-0.031629737466573715;0.25166773796081543;0.25279250741004944;0.5210617142762987;-1.0885181743374635;0.10635649043270579;0.7082606495134434;0.07518618241183633;0.7042586070638673;-0.024111119225390082;0.32209359866720216;0.2514954209327698;0.6199909448623657;0.2565687894821167;0.6355728420582889;-0.28468610990556326;1.4621336256031299;0.10460890761705188;0.1039919259039025;0.011344730037781808;0.26189461352316;0.621125417866144;0.9619077444076538;-0.430217981338501;0.26703208684921265;0.6904474778392509;2.262153862781452;4.257663171737873;0.8622978283343521;-0.774672408858145;-0.37873500459299886;0.8844405035218393;-0.46809148179780086;
